city,state,country,ngo_shelter_name,shelter_type,address,latitude,longitude,phone,email,capacity,services_offered
Ahmedabad,Gujarat,India,Sabarmati Ashram Shelter,Gandhian,Sabarmati,23.0612,72.5797,+91-79-27567890,sabarmati@ashram.org,120,"Gandhian philosophy, peace"
Ahmedabad,Gujarat,India,Old City Heritage Shelter,Heritage,Manek Chowk,23.0225,72.5714,+91-79-25456789,heritage@ahmedabad.org,75,"Heritage preservation support"
Surat,Gujarat,India,Diamond City Shelter,Commercial,Varachha,21.2187,72.8725,+91-261-2567890,diamond@surat.org,160,"Diamond industry workers"
Surat,Gujarat,India,Textile Hub Shelter,Industrial,Sachin,21.0933,72.8527,+91-261-2456789,textile@surat.org,200,"Textile workers support"
Kanpur,Uttar Pradesh,India,Ganga Ghat Shelter,Riverside,Ganga Ghat,26.4499,80.3319,+91-512-2567890,ganga@kanpur.org,130,"Riverside community"
Kanpur,Uttar Pradesh,India,Industrial Shelter Kanpur,Industrial,Panki,26.4073,80.2329,+91-512-2456789,industrial@kanpur.org,180,"Industrial workers"
Lucknow,Uttar Pradesh,India,Imambara Heritage Shelter,Heritage,Hussainabad,26.8739,80.9132,+91-522-2567890,imambara@lucknow.org,110,"Heritage area support"
Lucknow,Uttar Pradesh,India,Nawabi Shelter,Cultural,Hazratganj,26.8467,80.9462,+91-522-2456789,nawabi@lucknow.org,95,"Cultural preservation"
Nagpur,Maharashtra,India,Orange City Shelter,Agricultural,Sitabuldi,21.1458,79.0882,+91-712-2567890,orange@nagpur.org,125,"Agricultural community"
Nagpur,Maharashtra,India,Central India Shelter,Regional,Dharampeth,21.1307,79.0636,+91-712-2456789,central@nagpur.org,140,"Regional hub support"
Indore,Madhya Pradesh,India,Holkar Heritage Shelter,Royal Heritage,Rajwada,22.7196,75.8577,+91-731-2567890,holkar@indore.org,105,"Royal heritage area"
Indore,Madhya Pradesh,India,Commercial Hub Shelter,Commercial,MG Road,22.7279,75.8723,+91-731-2456789,commercial@indore.org,115,"Commercial district"
Thane,Maharashtra,India,Creek Side Shelter,Waterfront,Thane Creek,19.2183,72.9781,+91-22-25567890,creek@thane.org,90,"Waterfront community"
Thane,Maharashtra,India,Lake City Shelter,Lakeside,Upvan Lake,19.2147,72.9600,+91-22-25456789,lake@thane.org,75,"Lake community support"
Bhopal,Madhya Pradesh,India,Lake View Shelter,Lakeside,Upper Lake,23.2599,77.4126,+91-755-2567890,lakeview@bhopal.org,100,"Lakeside community"
Bhopal,Madhya Pradesh,India,Pink City Shelter Bhopal,General,New Market,23.2515,77.4044,+91-755-2456789,pink@bhopal.org,120,"General community support"
Visakhapatnam,Andhra Pradesh,India,Port City Shelter,Maritime,Harbour,17.6868,83.2185,+91-891-2567890,port@vizag.org,150,"Maritime community"
Visakhapatnam,Andhra Pradesh,India,Beach Road Shelter,Coastal,RK Beach,17.7231,83.3238,+91-891-2456789,beach@vizag.org,110,"Beach community"
Patna,Bihar,India,Ganga Bank Shelter,Riverside,Gandhi Ghat,25.6093,85.1376,+91-612-2567890,ganga@patna.org,140,"Riverside community"
Patna,Bihar,India,Pataliputra Heritage Shelter,Ancient Heritage,Kumhrar,25.5941,85.1376,+91-612-2456789,pataliputra@patna.org,85,"Ancient heritage site"
Vadodara,Gujarat,India,Cultural City Shelter,Cultural,Sayajigunj,22.3072,73.1812,+91-265-2567890,cultural@vadodara.org,130,"Cultural community"
Vadodara,Gujarat,India,Palace City Shelter,Royal,Laxmi Vilas Palace,22.2845,73.1866,+91-265-2456789,palace@vadodara.org,95,"Palace area support"
Ludhiana,Punjab,India,Industrial Hub Shelter,Industrial,Focal Point,30.9010,75.8573,+91-161-2567890,industrial@ludhiana.org,160,"Industrial workers"
Ludhiana,Punjab,India,Sports City Shelter,Sports,Guru Nanak Stadium,30.9000,75.8500,+91-161-2456789,sports@ludhiana.org,100,"Sports community"
Agra,Uttar Pradesh,India,Taj Mahal Shelter,Tourist,Taj Ganj,27.1751,78.0421,+91-562-2567890,taj@agra.org,200,"Tourist area support"
Agra,Uttar Pradesh,India,Heritage Triangle Shelter,UNESCO,Fatehpur Sikri,27.0947,77.6610,+91-562-2456789,heritage@agra.org,150,"UNESCO heritage site"
Nashik,Maharashtra,India,Wine Country Shelter,Agricultural,Gangapur Road,19.9975,73.7898,+91-253-2567890,wine@nashik.org,120,"Wine industry workers"
Nashik,Maharashtra,India,Pilgrimage Shelter,Religious,Panchavati,19.9615,73.7811,+91-253-2456789,pilgrimage@nashik.org,180,"Religious pilgrims"
Faridabad,Haryana,India,Industrial Town Shelter,Industrial,Sector 16,28.4089,77.3178,+91-129-2567890,industrial@faridabad.org,140,"Industrial community"
Faridabad,Haryana,India,Satellite City Shelter,Urban,NIT,28.3670,77.3100,+91-129-2456789,satellite@faridabad.org,110,"Urban development"
Meerut,Uttar Pradesh,India,Sports Equipment Shelter,Manufacturing,Sadar Bazaar,28.9845,77.7064,+91-121-2567890,sports@meerut.org,125,"Manufacturing workers"
Meerut,Uttar Pradesh,India,Educational Hub Shelter,Academic,University Campus,29.0156,77.7207,+91-121-2456789,education@meerut.org,90,"Academic community"
Rajkot,Gujarat,India,Kathiawar Shelter,Regional,Race Course,22.3039,70.8022,+91-281-2567890,kathiawar@rajkot.org,115,"Regional community"
Rajkot,Gujarat,India,Engineering Hub Shelter,Technical,Aji Dam Road,22.2735,70.7512,+91-281-2456789,engineering@rajkot.org,135,"Technical education"
Kalyan,Maharashtra,India,Dombivli Junction Shelter,Transportation,Railway Station,19.2403,73.1305,+91-251-2567890,junction@kalyan.org,100,"Transportation hub"
Kalyan,Maharashtra,India,Twin City Shelter,Urban,Kalyan West,19.2437,73.1355,+91-251-2456789,twin@kalyan.org,120,"Twin city support"
Vasai,Maharashtra,India,Fort City Shelter,Historical,Vasai Fort,19.4668,72.8155,+91-250-2567890,fort@vasai.org,85,"Historical preservation"
Vasai,Maharashtra,India,Coastal Belt Shelter,Coastal,Nalasopara,19.4230,72.7972,+91-250-2456789,coastal@vasai.org,105,"Coastal community"
Varanasi,Uttar Pradesh,India,Holy City Shelter,Spiritual,Dashashwamedh Ghat,25.3176,83.0104,+91-542-2567890,holy@varanasi.org,250,"Spiritual pilgrims"
Varanasi,Uttar Pradesh,India,Ganga Ghat Shelter,Sacred River,Assi Ghat,25.2820,83.0076,+91-542-2456789,ganga@varanasi.org,200,"Sacred river community"
Srinagar,Jammu and Kashmir,India,Dal Lake Shelter,Scenic,Dal Lake,34.1362,74.8647,+91-194-2567890,dal@srinagar.org,90,"Scenic location support"
Srinagar,Jammu and Kashmir,India,Valley Shelter,Mountain,Nishat Garden,34.1608,74.8492,+91-194-2456789,valley@srinagar.org,110,"Mountain community"
Aurangabad,Maharashtra,India,Cave City Shelter,Heritage,Ajanta Caves,20.5472,75.7026,+91-240-2567890,caves@aurangabad.org,140,"Heritage site support"
Aurangabad,Maharashtra,India,Industrial Shelter Aurangabad,Manufacturing,Waluj MIDC,19.8597,75.2765,+91-240-2456789,industrial@aurangabad.org,160,"Manufacturing hub"
Dhanbad,Jharkhand,India,Coal City Shelter,Mining,Jharia,23.7957,86.4304,+91-326-2567890,coal@dhanbad.org,180,"Mining community"
Dhanbad,Jharkhand,India,Energy Hub Shelter,Industrial,ISM Campus,23.8103,86.4410,+91-326-2456789,energy@dhanbad.org,130,"Energy sector"
Amritsar,Punjab,India,Golden Temple Shelter,Religious,Golden Temple,31.6200,74.8765,+91-183-2567890,golden@amritsar.org,300,"Religious community"
Amritsar,Punjab,India,Border City Shelter,International,Wagah Border,31.6040,74.9200,+91-183-2456789,border@amritsar.org,150,"Border community"
Allahabad,Uttar Pradesh,India,Sangam City Shelter,Sacred Junction,Triveni Sangam,25.4358,81.8463,+91-532-2567890,sangam@allahabad.org,220,"Sacred junction"
Allahabad,Uttar Pradesh,India,Kumbh Mela Shelter,Festival,Mela Grounds,25.4484,81.8417,+91-532-2456789,kumbh@allahabad.org,500,"Festival support"
Ranchi,Jharkhand,India,Plateau Shelter,Highland,Morabadi Ground,23.3441,85.3096,+91-651-2567890,plateau@ranchi.org,125,"Highland community"
Ranchi,Jharkhand,India,Tribal Welfare Shelter,Indigenous,Main Road,23.3441,85.3096,+91-651-2456789,tribal@ranchi.org,170,"Indigenous community"
Howrah,West Bengal,India,Industrial Belt Shelter,Manufacturing,GT Road,22.5958,88.2636,+91-33-26567890,belt@howrah.org,190,"Manufacturing belt"
Howrah,West Bengal,India,River Bank Shelter,Riverside,Hooghly River,22.5726,88.3639,+91-33-26456789,river@howrah.org,140,"Riverside community"
Jabalpur,Madhya Pradesh,India,Marble Rock Shelter,Natural,Bhedaghat,23.1315,79.8101,+91-761-2567890,marble@jabalpur.org,100,"Natural beauty area"
Jabalpur,Madhya Pradesh,India,Cantonment Shelter,Military,Cantonment Area,23.1815,79.9864,+91-761-2456789,cantonment@jabalpur.org,120,"Military community"
Gwalior,Madhya Pradesh,India,Fort City Shelter,Historical,Gwalior Fort,26.2183,78.1828,+91-751-2567890,fort@gwalior.org,130,"Historical fort area"
Gwalior,Madhya Pradesh,India,Music City Shelter,Cultural,Tansen Memorial,26.2124,78.1772,+91-751-2456789,music@gwalior.org,95,"Music cultural center"
Coimbatore,Tamil Nadu,India,Textile City Shelter,Industrial,RS Puram,11.0168,76.9558,+91-422-2567890,textile@coimbatore.org,160,"Textile industry"
Coimbatore,Tamil Nadu,India,Hill Station Shelter,Tourism,Ooty Road,11.0510,76.8580,+91-422-2456789,hills@coimbatore.org,110,"Hill station tourism"
Vijayawada,Andhra Pradesh,India,Krishna River Shelter,Riverside,Krishna Riverfront,16.5062,80.6480,+91-866-2567890,krishna@vijayawada.org,150,"River community"
Vijayawada,Andhra Pradesh,India,Commercial Hub Shelter,Business,MG Road,16.5079,80.6197,+91-866-2456789,commercial@vijayawada.org,135,"Business district"
Jodhpur,Rajasthan,India,Blue City Shelter,Heritage,Clock Tower,26.2389,73.0243,+91-291-2567890,blue@jodhpur.org,140,"Heritage blue city"
Jodhpur,Rajasthan,India,Desert Shelter,Arid Region,Mandore,26.2853,73.0378,+91-291-2456789,desert@jodhpur.org,115,"Desert community"
Madurai,Tamil Nadu,India,Temple City Shelter,Religious,Meenakshi Temple,9.9195,78.1193,+91-452-2567890,temple@madurai.org,180,"Temple city support"
Madurai,Tamil Nadu,India,Cultural Heritage Shelter,Traditional,Thirumalai Nayakkar Mahal,9.9252,78.1198,+91-452-2456789,cultural@madurai.org,120,"Cultural heritage"
Raipur,Chhattisgarh,India,New Capital Shelter,Administrative,New Raipur,21.2514,81.6296,+91-771-2567890,capital@raipur.org,145,"Administrative capital"
Raipur,Chhattisgarh,India,Industrial Shelter Raipur,Steel Industry,Urla Industrial Area,21.2787,81.6337,+91-771-2456789,steel@raipur.org,170,"Steel industry"
Kota,Rajasthan,India,Education City Shelter,Academic,Coaching Institutes,25.2138,75.8648,+91-744-2567890,education@kota.org,200,"Education hub"
Kota,Rajasthan,India,Chambal Shelter,Riverside,Chambal Garden,25.1816,75.8345,+91-744-2456789,chambal@kota.org,125,"Riverside support"
Chandigarh,Punjab,India,Planned City Shelter,Modern Urban,Sector 17,30.7333,76.7794,+91-172-2567890,planned@chandigarh.org,160,"Planned city"
Chandigarh,Punjab,India,Rose Garden Shelter,Garden City,Zakir Hussain Rose Garden,30.7588,76.7767,+91-172-2456789,rose@chandigarh.org,100,"Garden city support"
Guwahati,Assam,India,Gateway Northeast Shelter,Regional,Fancy Bazaar,26.1832,91.7514,+91-361-2567890,gateway@guwahati.org,130,"Northeast gateway"
Guwahati,Assam,India,Brahmaputra Shelter,Riverine,Brahmaputra Riverfront,26.1433,91.7898,+91-361-2456789,brahmaputra@guwahati.org,145,"River community"
Mysore,Karnataka,India,Palace City Shelter,Royal Heritage,Mysore Palace,12.3051,76.6551,+91-821-2567890,palace@mysore.org,120,"Royal palace area"
Mysore,Karnataka,India,Sandalwood City Shelter,Fragrance Industry,Devaraja Market,12.3015,76.6553,+91-821-2456789,sandalwood@mysore.org,95,"Fragrance industry"
Tirupati,Andhra Pradesh,India,Tirumala Shelter,Pilgrimage,Tirumala Hills,13.6288,79.4192,+91-877-2567890,tirumala@tirupati.org,300,"Pilgrimage support, accommodation"
Tirupati,Andhra Pradesh,India,Temple Town Shelter,Religious,Car Street,13.6540,79.4170,+91-877-2456789,temple@tirupati.org,250,"Religious community support"
Guntur,Andhra Pradesh,India,Agricultural Hub Shelter,Farming,Collectorate Complex,16.3067,80.4365,+91-863-2567890,agri@guntur.org,140,"Agricultural community"
Guntur,Andhra Pradesh,India,Chilli Market Shelter,Commercial,Guntur Market,16.3000,80.4400,+91-863-2456789,chilli@guntur.org,110,"Market traders support"
Warangal,Telangana,India,Kakatiya Shelter,Heritage,Thousand Pillar Temple,17.9689,79.5941,+91-870-2567890,kakatiya@warangal.org,125,"Heritage preservation"
Warangal,Telangana,India,Weavers Colony Shelter,Textile,Hanamkonda,18.0038,79.5734,+91-870-2456789,weavers@warangal.org,160,"Textile weavers support"
Nellore,Andhra Pradesh,India,Coastal City Shelter,Fishing,Fishing Harbor,14.4426,79.9865,+91-861-2567890,coastal@nellore.org,130,"Fishing community"
Nellore,Andhra Pradesh,India,Aqua Culture Shelter,Marine,Sullurpeta,13.7500,79.9000,+91-861-2456789,aqua@nellore.org,115,"Marine culture support"
Kurnool,Andhra Pradesh,India,Rayalaseema Shelter,Regional,Kurnool Fort,15.8281,78.0373,+91-851-2567890,rayala@kurnool.org,135,"Regional community"
Kurnool,Andhra Pradesh,India,Mining Belt Shelter,Mining,Cement Factory Area,15.8100,78.0500,+91-851-2456789,mining@kurnool.org,150,"Mining workers"
Anantapur,Andhra Pradesh,India,Drought Relief Shelter,Agricultural,Collector Office,14.6819,77.6006,+91-855-2567890,drought@anantapur.org,180,"Drought affected farmers"
Anantapur,Andhra Pradesh,India,Groundnut Farmers Shelter,Farming,APMC Yard,14.6700,77.6100,+91-855-2456789,groundnut@anantapur.org,145,"Groundnut farmers support"
Kadapa,Andhra Pradesh,India,Cuddapah Shelter,Regional,Gandhi Road,14.4673,78.8241,+91-856-2567890,cuddapah@kadapa.org,120,"Regional development"
Kadapa,Andhra Pradesh,India,Barytes Mining Shelter,Industrial,Jammalamadugu,14.8469,78.3831,+91-856-2456789,barytes@kadapa.org,135,"Mining industry"
Chittoor,Andhra Pradesh,India,Mango City Shelter,Agricultural,Tirupati Road,13.2172,79.1003,+91-877-2567890,mango@chittoor.org,125,"Mango farmers support"
Chittoor,Andhra Pradesh,India,Border District Shelter,Interstate,Tamil Nadu Border,13.2000,79.1000,+91-877-2456789,border@chittoor.org,110,"Interstate community"
Eluru,Andhra Pradesh,India,West Godavari Shelter,Deltaic,Godavari Delta,16.7107,81.0948,+91-881-2567890,godavari@eluru.org,140,"Delta community"
Eluru,Andhra Pradesh,India,Coconut Farmers Shelter,Agriculture,Coconut Gardens,16.7000,81.1000,+91-881-2456789,coconut@eluru.org,125,"Coconut cultivation"
Rajahmundry,Andhra Pradesh,India,Cultural Capital Shelter,Arts,Godavari Pushkaralu Ghat,17.0005,81.8040,+91-883-2567890,cultural@rajahmundry.org,170,"Cultural preservation"
Rajahmundry,Andhra Pradesh,India,Paper Mills Shelter,Industrial,Paper Mill Colony,17.0000,81.8100,+91-883-2456789,paper@rajahmundry.org,155,"Industrial workers"
Kakinada,Andhra Pradesh,India,Port City Shelter,Maritime,Kakinada Port,16.9891,82.2475,+91-884-2567890,port@kakinada.org,160,"Port community"
Kakinada,Andhra Pradesh,India,Natural Gas Shelter,Energy,ONGC Colony,16.9600,82.2400,+91-884-2456789,gas@kakinada.org,130,"Energy sector"
Machilipatnam,Andhra Pradesh,India,French Colonial Shelter,Historical,French Colony,16.1875,81.1389,+91-867-2567890,french@machilipatnam.org,105,"Colonial heritage"
Machilipatnam,Andhra Pradesh,India,Fishing Port Shelter,Marine,Fishing Harbor,16.1800,81.1400,+91-867-2456789,fishing@machilipatnam.org,140,"Fishing industry"
Ongole,Andhra Pradesh,India,Prakasam District Shelter,Administrative,Collectorate,15.5057,80.0499,+91-859-2567890,prakasam@ongole.org,125,"Administrative support"
Ongole,Andhra Pradesh,India,Cattle Breed Shelter,Animal Husbandry,Veterinary College,15.5000,80.0500,+91-859-2456789,cattle@ongole.org,110,"Animal husbandry"
Nizamabad,Telangana,India,Turmeric Market Shelter,Agricultural,Turmeric Market,18.6725,78.0941,+91-846-2567890,turmeric@nizamabad.org,135,"Turmeric traders"
Nizamabad,Telangana,India,Rice Bowl Shelter,Farming,Agricultural College,18.6700,78.1000,+91-846-2456789,rice@nizamabad.org,150,"Rice farmers"
Karimnagar,Telangana,India,Granite City Shelter,Mining,Granite Quarries,18.4386,79.1288,+91-878-2567890,granite@karimnagar.org,145,"Granite industry"
Karimnagar,Telangana,India,Textile Hub Shelter,Manufacturing,Power Loom Area,18.4300,79.1300,+91-878-2456789,textile@karimnagar.org,165,"Textile manufacturing"
Khammam,Telangana,India,Coal Belt Shelter,Mining,Khammam Thermal,17.2473,80.1514,+91-874-2567890,coal@khammam.org,170,"Coal mining"
Khammam,Telangana,India,Handloom Shelter,Traditional,Handloom Weavers Colony,17.2400,80.1500,+91-874-2456789,handloom@khammam.org,120,"Traditional weavers"
Mahbubnagar,Telangana,India,Palamuru Shelter,Drought Prone,Collectorate Complex,16.7400,77.9974,+91-855-2567890,palamuru@mahbubnagar.org,155,"Drought relief"
Mahbubnagar,Telangana,India,Tribal Welfare Shelter,Indigenous,Tribal Welfare Office,16.7300,78.0000,+91-855-2456789,tribal@mahbubnagar.org,140,"Tribal community"
Adilabad,Telangana,India,Forest Shelter,Forestry,Forest Department,19.6618,78.5314,+91-875-2567890,forest@adilabad.org,125,"Forest dwellers"
Adilabad,Telangana,India,Cotton Farmers Shelter,Agriculture,Cotton Market,19.6600,78.5300,+91-875-2456789,cotton@adilabad.org,135,"Cotton cultivation"
Medak,Telangana,India,Rural Development Shelter,Rural,District Headquarters,18.0488,78.2750,+91-846-2567890,rural@medak.org,115,"Rural development"
Medak,Telangana,India,Integrated Tribal Shelter,Indigenous,Tribal Area Development,18.0400,78.2800,+91-846-2456789,integrated@medak.org,130,"Tribal integration"
Rangareddy,Telangana,India,IT Corridor Shelter,Technology,HITEC City,17.4065,78.4772,+91-40-23567890,it@rangareddy.org,180,"IT professionals"
Rangareddy,Telangana,India,Suburban Shelter,Urban Development,Shamshabad,17.2403,78.3984,+91-40-23456789,suburban@rangareddy.org,145,"Suburban community"
Nalgonda,Telangana,India,Historical Shelter,Heritage,Bhongir Fort,17.5200,78.8900,+91-868-2567890,historical@nalgonda.org,120,"Heritage preservation"
Nalgonda,Telangana,India,Fluoride Affected Shelter,Health,Medical College,17.0500,79.2700,+91-868-2456789,fluoride@nalgonda.org,160,"Health support"
Thiruvananthapuram,Kerala,India,Capital City Shelter,Administrative,Secretariat,8.5241,76.9366,+91-471-2567890,capital@thiruvananthapuram.org,200,"Administrative capital"
Thiruvananthapuram,Kerala,India,IT Park Shelter,Technology,Technopark,8.5506,76.8803,+91-471-2456789,techno@thiruvananthapuram.org,150,"IT sector"
Kochi,Kerala,India,Queen of Arabian Sea Shelter,Port City,Marine Drive,9.9312,76.2673,+91-484-2567890,queen@kochi.org,180,"Port community"
Kochi,Kerala,India,Spice Trade Shelter,Commercial,Mattancherry,9.9591,76.2304,+91-484-2456789,spice@kochi.org,140,"Spice traders"
Kozhikode,Kerala,India,Malabar Coast Shelter,Coastal,Kozhikode Beach,11.2588,75.7804,+91-495-2567890,malabar@kozhikode.org,160,"Coastal community"
Kozhikode,Kerala,India,Textile City Shelter,Manufacturing,Beypore,11.1700,75.8000,+91-495-2456789,textile@kozhikode.org,135,"Textile industry"
Thrissur,Kerala,India,Cultural Capital Shelter,Arts,Vadakkunnathan Temple,10.5276,76.2144,+91-487-2567890,cultural@thrissur.org,145,"Cultural center"
Thrissur,Kerala,India,Pooram Festival Shelter,Festival,Thekkinkadu Maidan,10.5200,76.2100,+91-487-2456789,pooram@thrissur.org,250,"Festival support"
Kollam,Kerala,India,Cashew Capital Shelter,Processing,Cashew Factory,8.8932,76.6141,+91-474-2567890,cashew@kollam.org,125,"Cashew processing"
Kollam,Kerala,India,Backwater Shelter,Tourism,Ashtamudi Lake,8.8800,76.6000,+91-474-2456789,backwater@kollam.org,110,"Tourism support"
Palakkad,Kerala,India,Granary of Kerala Shelter,Agricultural,Palakkad Gap,10.7867,76.6548,+91-491-2567890,granary@palakkad.org,155,"Agricultural hub"
Palakkad,Kerala,India,Railway Junction Shelter,Transportation,Palakkad Junction,10.7800,76.6500,+91-491-2456789,railway@palakkad.org,120,"Transportation hub"
Malappuram,Kerala,India,Educational Hub Shelter,Academic,University of Calicut,11.0510,76.0711,+91-483-2567890,education@malappuram.org,170,"Educational center"
Malappuram,Kerala,India,Moplah Heritage Shelter,Cultural,Tirurangadi,11.0000,75.9000,+91-483-2456789,moplah@malappuram.org,130,"Cultural heritage"
Kannur,Kerala,India,Handloom Capital Shelter,Textile,Handloom Park,11.8745,75.3704,+91-497-2567890,handloom@kannur.org,140,"Handloom industry"
Kannur,Kerala,India,Theyyam Art Shelter,Traditional Arts,Parassinikadavu,12.1000,75.4000,+91-497-2456789,theyyam@kannur.org,100,"Traditional arts"
Kasaragod,Kerala,India,Seven Languages Shelter,Linguistic,Bekal Fort,12.3895,74.9870,+91-499-2567890,languages@kasaragod.org,115,"Linguistic diversity"
Kasaragod,Kerala,India,Coir Industry Shelter,Manufacturing,Coir Factory,12.5000,75.0000,+91-499-2456789,coir@kasaragod.org,125,"Coir manufacturing"
Alappuzha,Kerala,India,Venice of East Shelter,Backwaters,Vembanad Lake,9.4981,76.3388,+91-477-2567890,venice@alappuzha.org,160,"Backwater community"
Alappuzha,Kerala,India,Coir Capital Shelter,Industry,Coir Board,9.5000,76.3300,+91-477-2456789,coir@alappuzha.org,135,"Coir industry"
Kottayam,Kerala,India,Latex Capital Shelter,Rubber,Rubber Board,9.5916,76.5222,+91-481-2567890,latex@kottayam.org,145,"Rubber industry"
Kottayam,Kerala,India,Syrian Christian Shelter,Religious,St. Mary's Church,9.5900,76.5200,+91-481-2456789,syrian@kottayam.org,120,"Religious community"
Pathanamthitta,Kerala,India,Pilgrimage Shelter,Religious,Sabarimala Base,9.2648,76.7870,+91-468-2567890,pilgrimage@pathanamthitta.org,300,"Pilgrimage support"
